iter	RMSE
0	0.2503147815
1	0.2447744449
2	0.2391390661
3	0.2339518559
4	0.2296595975
5	0.2245056387
6	0.2199274335
7	0.2150616852
8	0.2108634267
9	0.2070461505
10	0.2027584905
11	0.1985561598
12	0.1945383196
13	0.1908623213
14	0.1867629374
15	0.1826641124
16	0.1787403952
17	0.17490408
18	0.1709242628
19	0.1672010039
20	0.1637516373
21	0.1608518297
22	0.1582051401
23	0.1555196148
24	0.1527861354
25	0.1498207945
26	0.1470897127
27	0.1441847488
28	0.1415312874
29	0.1393208883
30	0.1368513189
31	0.1341924735
32	0.1316411221
33	0.1291847146
34	0.1267367743
35	0.1241315058
36	0.1221266264
37	0.119395633
38	0.1173677566
39	0.1153597983
40	0.113687562
41	0.111492491
42	0.1095533136
43	0.1074688002
44	0.1053643823
45	0.1034400779
46	0.101490099
47	0.09966880474
48	0.09811539421
49	0.09632696303
50	0.09492020502
51	0.09333453099
52	0.09169913862
53	0.09005963286
54	0.08833302761
55	0.08729657996
56	0.08599107557
57	0.08467492371
58	0.08329483276
59	0.0820312513
60	0.08084532243
61	0.07957662421
62	0.07836433008
63	0.07728417914
64	0.07610946187
65	0.07507858724
66	0.07399196155
67	0.0731242574
68	0.07205545566
69	0.07093166594
70	0.06992978342
71	0.06901784342
72	0.06817990792
73	0.06732556314
74	0.06652521381
75	0.06575593874
76	0.06506739862
77	0.06435752955
78	0.0635825409
79	0.06283730425
80	0.06203622039
81	0.06143253784
82	0.06074360177
83	0.06011514042
84	0.05944575297
85	0.05877868843
86	0.05805507011
87	0.05743099365
88	0.05678314727
89	0.05626500579
90	0.05572298004
91	0.0551047476
92	0.0545760855
93	0.05402482718
94	0.05357940036
95	0.05315055669
96	0.05262809696
97	0.05216722949
98	0.05172894444
99	0.05128288768
100	0.05088916869
101	0.05052869186
102	0.05010450311
103	0.04970170788
104	0.04926720465
105	0.04885180716
106	0.04851309964
107	0.04817755063
108	0.04784994583
109	0.04751447541
110	0.04718309848
